CancerType,Year,Sex,AgeSpecificRate,CaseCount,Population
'All Cancer Sites Combined','2012-2016','Female','420.9','4069572','809147519'
'All Cancer Sites Combined','2012-2016','Male','488.8','4120977','784148557'
