CancerType,Year,Sex,AgeSpecificRate,DeathCount,Population
'All Cancer Sites Combined','2012-2016','Female','137.7','1400236','809147519'
'All Cancer Sites Combined','2012-2016','Male','193.1','1552879','784148557'
